Cas,Temperatura (2m),Relativna vlaga (2m),Temperatura rosisca (2m),Obcutna temperatura,Verjetnost padavin,Stevilo nesrec,Average speed,FRC,Free flow speed,Current travel time,Free flow travel time,Confidence,Road closure
2024-05-28T09:00,19.4,95,18.6,21.4,14,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,95,18.4,21.1,6,3,21,FRC3,21,21,21,1,False
2024-05-28T10:00,19.2,96,18.6,21.4,6,3,21,FRC3,21,21,21,1,False
